,EVN (promedio) Paises de Bajo Ingreso,año,EVN (promedio) Paises de Alto Ingreso,brecha
0,55.04144827586207,1990.0,75.32429890004784,20.28285062418577
1,55.33342857142857,1991.0,75.50558065896449,20.17215208753592
2,55.95107653490329,1992.0,75.85705081300813,19.905974278104843
3,56.36191692073171,1993.0,76.00465203252033,19.642735111788618
4,56.06070693597561,1994.0,76.13938048780489,20.078673551829276
5,56.100926078799255,1995.0,75.96179776422765,19.8608716854284
6,56.46297448405253,1996.0,76.12641560975611,19.663441125703578
7,56.72536960600375,1997.0,76.5806837979094,19.85531419190565
8,56.893170731707315,1998.0,76.9121514604035,20.018980728696192
9,57.029579268292686,1999.0,77.22019134727063,20.190612078977942
10,57.261627286585366,2000.0,77.22186851696105,19.960241230375686
11,57.43341889276036,2001.0,77.62414437903,20.190725486269642
12,57.65853503677894,2002.0,77.6825105691057,20.02397553232676
13,58.3773512195122,2003.0,77.84463545764491,19.467284238132713
14,57.0863756097561,2004.0,78.25497639653817,21.168600786782072
15,57.67337703252033,2005.0,78.19663103778097,20.523254005260647
16,57.72641760856633,2006.0,78.13844986449865,20.412032255932324
17,58.2457210756723,2007.0,78.11816944801028,19.872448372337978
18,59.28880627177701,2008.0,77.41194812233837,18.12314185056136
19,59.05349803304485,2009.0,77.8375270672219,18.784029034177046
20,59.70848387096774,2010.0,78.5578082490581,18.84932437809036
21,59.84324796747968,2011.0,78.86667825203253,19.023430284552852
22,59.54896153846153,2012.0,77.72261304272617,18.173651504264633
23,59.634521739130435,2013.0,77.95999813685638,18.32547639772595
24,60.21360869565218,2014.0,78.21538159487977,18.001772899227596
25,60.60241666666667,2015.0,78.97479286770141,18.37237620103474
26,61.09312499999999,2016.0,79.2818062015504,18.188681201550402
27,61.553125,2017.0,79.31330413895049,17.760179138950484
28,61.66060869565217,2018.0,79.44811252771619,17.78750383206402
29,61.72691304347826,2019.0,79.633284733514,17.90637169003574
30,62.060478260869566,2020.0,79.54429030339085,17.483812042521286
